id,name,listeners,alive,management,nationality,band
jora,Jordan Rakei,"1,961,858",1,Red Light Management ,Neuseeland,2
safe,Sam Fender,"18,620,688",1,Interscope Records,UK,2
moth,Mott the Hoople,"446,917",2,Island Records (UMG),UK,1
crst,"Crosby, Stills & Nash","4,211,768",2,Atlantic Records (WMG),USA,1
sndo,Snoop Dogg,"24,937,483",1,Death Row Records (UMG),USA,2
skri,Skrillex,"21,361,404",1,Owsla (WMG),USA,2
zabr,Zac Brown Band,"11,981,767",1,Home Grown Music,USA,1
bojo,Bon Jovi,"36,619,779",1,Island Records (UMG),USA,1
nsyn,NSYNC,"17,640,938",1,Jive Records (Zomba),USA,1
metr,Meghan Trainor,"20,861,329",1,Epic Records (Sony),USA,2
jaja,Janet Jackson,"8,818,844",1,Rhythm Nation (BMG),USA,2
majb,Mary J. Blige,"18,911,051",1,Mary Jane Productions (300),USA,2
xxxx,X,"347,648",1,Slash Records,USA,1
rost,Rolling Stones,"29,136,009",1,Polydor (UMG),UK,1
almo,Alanis Morissette,"10,397,585",1,Epiphany Music (Thirty Tigers),USA,2
